1943,United Kingdom,2
1943,Italy,3
1943,Myanmar,2
1943,Libya,1
1943,Solomon Islands,1
1943,Guinea,1
1943,Philippines,1
1943,Indonesia,1
1943,France,1
1943,United States,11
1943,Malaysia,1
1943,China,5
1943,Germany,4
1943,Egypt,2
1943,Japan,4
1943,Norway,1
1943,Russia,2
1943,Tunisia,1
1981,Turkey,3
1981,Afghanistan,18
1981,Turkmenistan,20
1981,Panama,5
1981,Lithuania,20
1981,Costa Rica,2
1981,Cambodia,8
1981,France,1
1981,Ethiopia,1
1981,Honduras,2
1981,Somalia,1
1981,Peru,3
1981,Laos,2
1981,Argentina,2
1981,Bolivia,1
1981,Venezuela,2
1981,Nigeria,4
1981,Ecuador,3
1981,Ghana,1
1981,United Kingdom,2
1981,Israel,11
1981,Australia,2
1981,Iran,11
1981,Western Sahara,1
1981,Algeria,2
1981,Cuba,2
1981,El Salvador,3
1981,Zambia,1
1981,United States,93
1981,Trinidad and Tobago,1
1981,Zimbabwe,2
1981,Germany,2
1981,Armenia,20
1981,Puerto Rico,1
1981,China,7
1981,Haiti,1
1981,Iraq,1
1981,Kazakhstan,20
1981,Poland,5
1981,Spain,1
1981,Ukraine,20
1981,Liberia,2
1981,Kyrgyzstan,20
1981,Georgia,20
1981,Chile,1
1981,Libya,2
1981,Jamaica,1
1981,Tanzania,1
1981,Mexico,7
1981,Moldova,20
1981,North Korea,3
1981,Philippines,1
1981,Vietnam,7
1981,Namibia,3
1981,Thailand,2
1981,Belarus,20
1981,New Zealand,2
1981,Russia,20
1981,Brazil,2
1981,Pakistan,7
1981,Angola,1
1981,Chad,2
1981,Estonia,20
1981,Morocco,1
1981,Nicaragua,3
1981,Tajikistan,20
1981,Uruguay,1
1981,India,2
1981,Azerbaijan,20
1981,Uzbekistan,20
1981,Egypt,7
1981,Latvia,20
1981,Mozambique,1
1981,Tunisia,1
1981,Colombia,2
1981,Greece,2
1981,Paraguay,1
1981,Japan,6
1981,South Korea,3
1981,Cyprus,1
1981,Botswana,1
2009,Afghanistan,2
2009,Israel,1
2009,Pakistan,1
2009,North Korea,1
2009,China,1
2009,Germany,1
2009,Japan,1
2009,South Korea,1
2009,Iraq,4
2009,United States,22
1988,Canada,1
1988,Afghanistan,1
1988,Angola,1
1988,Mexico,1
1988,Cambodia,1
1988,United States,31
1988,Nicaragua,5
1923,Canada,1
1923,United Kingdom,1
1923,Georgia,1
1923,Mexico,1
1923,Panama,2
1923,France,1
1923,United States,9
1923,Germany,2
1923,Russia,5
1921,United States,3
1921,Russia,4
1927,Canada,3
1927,United Kingdom,1
1927,Cuba,3
1927,Panama,2
1927,Mexico,3
1927,United States,15
1927,China,2
1927,Japan,1
1927,Nicaragua,1
2005,Ukraine,2
2005,Pakistan,1
2005,Saudi Arabia,2
2005,Iran,1
2005,Afghanistan,3
2005,Egypt,1
2005,Lebanon,1
2005,Israel,2
2005,North Korea,2
2005,Morocco,1
2005,Jordan,1
2005,Palestine,1
2005,South Korea,1
2005,Iraq,14
2005,United States,24
1952,Turkey,2
1952,Turkmenistan,3
1952,Lithuania,3
1952,Cambodia,2
1952,Laos,2
1952,Australia,1
1952,Iran,2
1952,Armenia,3
1952,Kazakhstan,3
1952,Ukraine,3
1952,Kyrgyzstan,3
1952,Georgia,3
1952,Philippines,1
1952,Moldova,3
1952,United States,3
1952,Vietnam,2
1952,Belarus,3
1952,New Zealand,1
1952,Russia,3
1952,North Korea,11
1952,Estonia,3
1952,India,4
1952,Azerbaijan,3
1952,Uzbekistan,3
1952,Malaysia,1
1952,Latvia,3
1952,Greece,2
1952,Paraguay,1
1952,Japan,1
1952,South Korea,11
1952,Tajikistan,3
1959,United States,17
1959,Taiwan,1
1959,Lebanon,1
1958,Ukraine,2
1958,Uzbekistan,2
1958,Kyrgyzstan,2
1958,Georgia,2
1958,Turkmenistan,2
1958,Estonia,2
1958,Tajikistan,2
1958,Lithuania,2
1958,Azerbaijan,2
1958,Latvia,2
1958,Moldova,2
1958,United States,8
1958,Belarus,2
1958,Armenia,2
1958,Kazakhstan,2
1958,Russia,2
1902,United Kingdom,1
1902,Mexico,1
1902,Panama,2
1902,Cuba,6
1902,United States,10
1902,China,2
1902,Colombia,1
1902,Philippines,2
1998,Ukraine,1
1998,Pakistan,1
1998,Czech Republic,1
1998,Poland,1
1998,Indonesia,1
1998,India,1
1998,North Korea,2
1998,Vietnam,1
1998,China,1
1998,Thailand,1
1998,Hungary,1
1998,South Korea,3
1998,Iraq,1
1998,United States,48
1998,Russia,1
1980,Canada,3
1980,Afghanistan,18
1980,Bangladesh,1
1980,Panama,2
1980,Nepal,1
1980,Lithuania,27
1980,Cambodia,6
1980,Georgia,27
1980,Somalia,1
1980,Peru,1
1980,Laos,1
1980,Bolivia,1
1980,Norway,1
1980,Ecuador,2
1980,Turkmenistan,27
1980,United Kingdom,1
1980,Israel,5
1980,Australia,2
1980,Iran,11
1980,Cuba,3
1980,Venezuela,2
1980,United States,78
1980,Zimbabwe,1
1980,Germany,1
1980,Armenia,27
1980,China,14
1980,Kazakhstan,27
1980,Philippines,1
1980,Spain,1
1980,Ukraine,27
1980,Kyrgyzstan,27
1980,Netherlands,1
1980,Western Sahara,1
1980,Turkey,2
1980,Finland,1
1980,Moldova,27
1980,North Korea,3
1980,Morocco,2
1980,Sweden,1
1980,Vietnam,6
1980,Ireland,1
1980,Thailand,2
1980,Namibia,2
1980,Belarus,27
1980,New Zealand,1
1980,Russia,27
1980,Brazil,2
1980,Pakistan,13
1980,Portugal,1
1980,Estonia,27
1980,Mexico,1
1980,Nicaragua,1
1980,Tajikistan,27
1980,India,2
1980,Azerbaijan,27
1980,Uzbekistan,27
1980,Egypt,5
1980,Austria,1
1980,Latvia,27
1980,Greece,1
1980,Sri Lanka,1
1980,Japan,9
1980,South Korea,3
1980,Cyprus,1
1965,Ukraine,2
1965,Uzbekistan,2
1965,Kyrgyzstan,2
1965,Belarus,2
1965,Turkmenistan,2
